"method","scalar","status","rank_rhat","folded_rhat","bulk_ess","tail_ess"
"graphMoDE-W-reference","guidance_4","failed",1.01688443130537,1.00158923250181,374.364498827972,896.759184548932
"graphMoDE-W-reference","guidance_5","failed",1.02359733128991,1.00684329390835,273.617599520702,899.257298955419
"graphMoDE-W-reference","guidance_6","failed",1.02950517645202,1.00595558548364,178.53508141474,842.913639492267
"graphMoDE-W-reference","guidance_7","failed",1.03078691852243,1.00089182760071,174.199052532882,796.329460235545
"graphMoDE-W-reference","guidance_8","failed",1.03956462575595,1.01022088649032,121.301103776895,680.449453207055
"graphMoDE-W-reference","guidance_9","failed",1.04092572458221,1.01203128715078,98.9802350906259,741.166458518292
"graphMoDE-W-reference","guidance_10","failed",1.02326785742025,1.00680285962009,354.289082849801,653.152023401175
"graphMoDE-W-reference","unit_log_mean_1_t1","failed",1.06587705438047,1.10434039585166,42.8883141829561,11.8175153554998
"graphMoDE-W-reference","unit_log_mean_31_t1","passed",1.00202387356252,0.998997251961019,675.091751698891,767.398182808703
"graphMoDE-W-reference","unit_log_mean_61_t1","failed",1.28646433376829,1.28840983633291,11.0769288752678,29.3910920440166
"graphMoDE-W-reference","unit_log_mean_91_t1","failed",1.29166726865277,1.29167810459914,10.7826458732103,20.3117714401047
"graphMoDE-W-reference","unit_log_mean_121_t1","failed",1.09884434138453,1.10385070925475,29.599182016926,11.1913655068262
"graphMoDE-W-reference","unit_log_mean_1_t84","failed",1.11175800209148,1.10528434550461,24.1503647667485,12.2375486136847
"graphMoDE-W-reference","unit_log_mean_31_t84","passed",0.999636813338174,0.997637028693722,486.429604175429,451.436640980066
"graphMoDE-W-reference","unit_log_mean_61_t84","failed",1.28641992918974,1.2991674525133,11.0237084019943,21.8090649327628
"graphMoDE-W-reference","unit_log_mean_91_t84","failed",1.29011675287845,1.28817526584251,10.622973818708,19.5142209878577
"graphMoDE-W-reference","unit_log_mean_121_t84","failed",1.08229395002134,1.10018087823039,34.3519096695796,11.1366648155387
"graphMoDE-W-reference","unit_log_mean_1_t168","failed",1.0885968969557,1.08251869406677,30.8527222473241,12.8640663712361
"graphMoDE-W-reference","unit_log_mean_31_t168","passed",1.00210851384433,1.00563540804039,511.582666316708,787.016052487591
"graphMoDE-W-reference","unit_log_mean_61_t168","failed",1.12843932024909,1.04483824376269,21.5523842802465,55.2477441124265
"graphMoDE-W-reference","unit_log_mean_91_t168","failed",1.16283712005988,1.0622418564616,16.9101272502311,33.9310884632911
"graphMoDE-W-reference","unit_log_mean_121_t168","failed",1.0690115558239,1.07333980745492,42.1222035746511,24.1381995852724
"graphMoDE-W-joint","log_likelihood","passed",0.999668397311154,1.00444540026089,461.689608878007,782.291276350571
"graphMoDE-W-joint","Kocc","uninformative-constant-discrete",NA,NA,NA,NA
