"edge_id","from_location_id","to_location_id","from_road_vertex_id","to_road_vertex_id","road_distance_km","weight"
1,1,2,"9104783423","9104783432",0.871038961267873,0.799740997954613
2,1,3,"9104783423","9534648061",4.882990271311,0.142859837213864
3,2,3,"9104783432","9534648061",4.86583554535901,0.286979923760446
4,1,4,"9104783423","9643487223",2.27047476836607,0.558502421277198
5,2,4,"9104783432","9643487223",2.37025680509695,0.544386573524663
6,3,4,"9534648061","9643487223",4.83295071590044,0.28941132655596
7,5,6,"5190540103","605350604",3.87942373540171,0.184810624121935
8,5,7,"5190540103","605967055",1.71833520741298,0.643493433706381
9,6,7,"605350604","605967055",4.57421505936721,0.154637101318773
10,1,8,"9104783423","9449967660",3.35810765058145,0.422514536664138
11,2,8,"9104783432","9449967660",3.01228291612468,0.461714209525751
12,3,8,"9534648061","9449967660",4.48759403355359,0.158112047643093
13,4,8,"9643487223","9449967660",4.55320740558994,0.155472778641441
14,6,8,"605350604","9449967660",5.3692914130846,0.126103392040564
15,7,8,"605967055","9449967660",3.94591183307858,0.181684914828422
16,5,9,"5190540103","13668716152",2.92547253287356,0.472112610971246
17,6,9,"605350604","13668716152",6.07282721528468,0.105278389036445
18,7,9,"605967055","13668716152",3.65838201005754,0.391187767691838
19,9,11,"13668716152","4585803094",4.0637404654634,0.176274898768231
20,10,11,"2738796175","4585803094",5.46564757634189,0.123024277372753
21,5,12,"5190540103","4724379704",3.09801709160469,0.451669526070935
22,7,12,"605967055","4724379704",2.33821934106436,0.548879487123386
23,9,12,"13668716152","4724379704",2.3498226075995,0.547247985446015
24,11,12,"4585803094","4724379704",2.56097152597474,0.518391754893351
25,10,13,"2738796175","11293336703",4.5675114954848,0.309806555342609
26,13,14,"11293336703","1836427238",5.81986696826635,0.112337281528493
27,13,15,"11293336703","1836427269",5.86996899707203,0.110902560205133
28,14,15,"1836427238","1836427269",0.0501020288056797,0.98722844897225
29,10,16,"2738796175","6008389398",3.65482867208227,0.391544544210711
30,11,16,"4585803094","6008389398",2.94905912467904,0.469264388142755
31,13,16,"11293336703","6008389398",4.00223645907381,0.17907840332125
32,14,17,"1836427238","1765245317",2.74073143238769,0.495027521060039
33,15,17,"1836427269","1765245317",2.79083346119337,0.48870525181468
34,14,18,"1836427238","331010424",2.81515269052146,0.485665632387664
35,15,18,"1836427269","331010424",2.86525471932713,0.4794629289812
36,17,18,"1765245317","331010424",1.59208391683418,0.664677477311755
37,14,19,"1836427238","3643528852",6.42818402501322,0.0961049125189636
38,17,19,"1765245317","3643528852",5.63410896384555,0.117820525589363
39,18,19,"331010424","3643528852",4.4061284683368,0.16145139713947
40,14,20,"1836427238","701841258",4.10823254553058,0.174274238206452
41,17,20,"1765245317","701841258",3.03250559529721,0.459324955480919
