"location_id","road_vertex_id","longitude","latitude","cell_id","center_road_distance_km","ring_label"
1,"9104783423",116.3104837,39.8359988,1,15.0559708389661,5
2,"9104783432",116.3127698,39.836071,1,14.7101461045093,5
3,"9534648061",116.3057586,39.8524511,1,14.6556364816062,5
4,"9643487223",116.2909353,39.8387548,1,16.1962479365931,5
5,"5190540103",116.3680246,39.8322233,2,10.9056768729236,3
6,"605350604",116.3391477,39.8284262,2,14.0573318189004,5
7,"605967055",116.3651753,39.8444742,2,9.5653247000427,3
8,"9449967660",116.3317315,39.8469143,2,11.9856616867749,4
9,"13668716152",116.3910113,39.8322913,3,10.5333371135966,3
10,"2738796175",116.4199339,39.8315581,3,11.7573524096087,4
11,"4585803094",116.3987293,39.8509248,3,7.77001398926136,2
12,"4724379704",116.3856001,39.8438073,3,8.99823596649108,3
