station,month,metadata_matched,records,samples_sum,total_flow_count,total_flow_mean,total_flow_weighted_by_samples,average_speed_count,average_speed_mean,average_speed_weighted_by_samples
1108760,10,yes,744,250818,744,2030.494623655914,2056.0652704351364,744,64.74744623655914,64.72927421476926
1108760,11,yes,720,247202,720,1860.923611111111,1867.263755956667,720,64.22444444444442,64.45468766433926
1108760,12,yes,744,265986,744,1837.103494623656,1831.7271360146774,744,64.68131720430105,64.70001879798185
1108761,01,yes,744,177118,744,357.46505376344084,356.1361465237864,0,,
1108761,02,yes,696,166210,695,365.59136690647483,365.63424583358403,0,,
1108761,03,yes,743,177338,743,302.13728129205924,302.24711003845766,0,,
1108761,04,yes,720,170482,717,227.17573221757323,227.9311481564036,0,,
1108761,05,yes,744,169494,744,290.5725806451613,289.5861446422882,0,,
1108761,06,yes,720,169430,711,332.18424753867794,332.2439237443192,0,,
1108761,07,yes,744,167824,684,337.57456140350877,338.1992553035128,0,,
1108761,08,yes,744,176738,741,336.92442645074226,337.6377689008589,0,,
1108761,09,yes,720,163763,719,314.0278164116829,320.84166142535247,0,,
1108761,10,yes,744,170802,741,333.09041835357624,338.9940047540427,0,,
1108761,11,yes,720,164838,676,329.353550295858,329.16363164015144,0,,
1108761,12,yes,744,177326,744,332.4583333333333,331.28383880536416,0,,
1108762,01,yes,744,265781,744,2760.47311827957,2752.4670198396425,744,61.8120967741935,61.84174527148288
1108762,02,yes,696,249111,696,2848.492816091954,2843.830593590809,696,61.303304597701135,61.298346520225905
1108762,03,yes,743,266541,743,2227.900403768506,2229.4775738066564,743,63.71305518169577,63.711508548403415
1108762,04,yes,720,255909,720,1672.4402777777777,1675.5394886463548,720,65.11624999999997,65.10938653974652
1108762,05,yes,744,254277,744,2089.8225806451615,2079.3959933458395,744,65.09395161290321,65.12592173102563
1108762,06,yes,720,254160,720,2456.961111111111,2481.6690155807364,720,64.34250000000003,64.30337464589233
1108762,07,yes,744,255024,744,2477.0120967741937,2484.403703180877,744,64.48629032258052,64.47349778844344
1108762,08,yes,744,264660,744,2532.1008064516127,2531.4722511902064,744,64.36102150537633,64.35961686692363
